algorithm,hyperparameter,mean_accuracy,mean_f1_weighted
k-NN,k=1,0.9738392302917444,0.9737768766338132
k-NN,k=3,0.9766201117318436,0.9766073513576627
k-NN,k=5,0.9788454376163873,0.9787265286382676
k-NN,k=7,0.9743947858472998,0.9743670116673198
k-NN,k=9,0.976064556176288,0.976041974743765
k-NN,k=11,0.9699503414028554,0.9698751909220474
Random Forest,ntree=10,0.7000527622594662,0.6909638340078297
Random Forest,ntree=25,0.819137181874612,0.8115148339836811
Random Forest,ntree=50,0.8547454996896338,0.8504520096644091
Random Forest,ntree=75,0.8686685288640594,0.86393188509195
Random Forest,ntree=100,0.8809062693978895,0.8759602186025852
Random Forest,ntree=125,0.888699565487275,0.8850114114354461
