algorithm,hyperparameter,mean_accuracy,mean_f1_weighted
k-NN,k=1,0.9738392302917444,0.9737768766338132
k-NN,k=3,0.9766201117318436,0.9766073513576627
k-NN,k=5,0.9788454376163873,0.9787265286382676
k-NN,k=7,0.9743947858472998,0.9743670116673198
k-NN,k=9,0.976064556176288,0.976041974743765
k-NN,k=11,0.9699503414028554,0.9698751909220474
Random Forest,ntree=10,0.7000527622594662,0.6909638340078297
Random Forest,ntree=25,0.819137181874612,0.8115148339836811
Random Forest,ntree=50,0.8547454996896338,0.8504520096644091
Random Forest,ntree=75,0.8686685288640594,0.86393188509195
Random Forest,ntree=100,0.8809062693978895,0.8759602186025852
Random Forest,ntree=125,0.888699565487275,0.8850114114354461
Gaussian NB,GaussianNB() defaults,0.8425108628181253,0.8438921700490966
Gradient Boosting,"n_estimators=10, learning_rate=0.01",0.8441992551210428,0.8428136662018494
Gradient Boosting,"n_estimators=10, learning_rate=0.1",0.8987088764742396,0.8987028899190376
Gradient Boosting,"n_estimators=10, learning_rate=0.5",0.9426877715704531,0.9424669954207412
Gradient Boosting,"n_estimators=25, learning_rate=0.01",0.8592116697703289,0.8586418581350272
Gradient Boosting,"n_estimators=25, learning_rate=0.1",0.9415580384854128,0.9415810371073079
Gradient Boosting,"n_estimators=25, learning_rate=0.5",0.9638299193047797,0.9637200060557239
Gradient Boosting,"n_estimators=50, learning_rate=0.01",0.8759062693978896,0.8757022631744892
Gradient Boosting,"n_estimators=50, learning_rate=0.1",0.9554810676598386,0.955290271491708
Gradient Boosting,"n_estimators=50, learning_rate=0.5",0.9699410304158909,0.9697744575725823
Gradient Boosting,"n_estimators=100, learning_rate=0.01",0.8998168839230292,0.8999578134269195
Gradient Boosting,"n_estimators=100, learning_rate=0.1",0.9654996896337679,0.9655425625627757
Gradient Boosting,"n_estimators=100, learning_rate=0.5",0.97495965238982,0.9748361291394018
Ensemble (majority vote),"knn_k=5, rf_ntree=125, +GaussianNB",0.9615859714463065,0.9615535500708342
