algorithm,hyperparameter,mean_accuracy,mean_f1_weighted
k-NN,k=1,0.953421052631579,0.9536949684804027
k-NN,k=3,0.9028947368421054,0.9024872775358694
k-NN,k=5,0.9184210526315789,0.9190008087262347
k-NN,k=7,0.9128947368421054,0.9112426463401231
k-NN,k=9,0.8976315789473684,0.8938321904309514
k-NN,k=11,0.8771052631578946,0.8687571877096423
Random Forest,ntree=10,0.7539473684210526,0.648307265489928
Random Forest,ntree=25,0.7539473684210526,0.648307265489928
Random Forest,ntree=50,0.7539473684210526,0.648307265489928
Random Forest,ntree=75,0.7539473684210526,0.648307265489928
Random Forest,ntree=100,0.7539473684210526,0.648307265489928
Random Forest,ntree=125,0.7539473684210526,0.648307265489928
Gaussian NB,GaussianNB() defaults,0.7131578947368421,0.728347975759303
Gradient Boosting,"n_estimators=10, learning_rate=0.01",0.7539473684210526,0.648307265489928
Gradient Boosting,"n_estimators=10, learning_rate=0.1",0.8760526315789473,0.8658753000251412
Gradient Boosting,"n_estimators=10, learning_rate=0.5",0.9071052631578945,0.8991712117125404
Gradient Boosting,"n_estimators=25, learning_rate=0.01",0.7539473684210526,0.648307265489928
Gradient Boosting,"n_estimators=25, learning_rate=0.1",0.9015789473684211,0.8971593144904683
Gradient Boosting,"n_estimators=25, learning_rate=0.5",0.9223684210526315,0.9204686633156862
Gradient Boosting,"n_estimators=50, learning_rate=0.01",0.8555263157894737,0.8378654090321109
Gradient Boosting,"n_estimators=50, learning_rate=0.1",0.9065789473684209,0.9042134853656428
Gradient Boosting,"n_estimators=50, learning_rate=0.5",0.9326315789473683,0.9305818368349836
Gradient Boosting,"n_estimators=100, learning_rate=0.01",0.8760526315789473,0.8622518469263207
Gradient Boosting,"n_estimators=100, learning_rate=0.1",0.9221052631578948,0.9215093443657345
Gradient Boosting,"n_estimators=100, learning_rate=0.5",0.9273684210526316,0.9256097291464073
Ensemble (majority vote),"knn_k=1, rf_ntree=10, +GaussianNB",0.9378947368421053,0.9366953631212898
